,mae,rmse,mape,n
last_hour,1708.3975802109974,2123.1244251770204,3.3748646599789525,98137.0
same_hour_yesterday,2855.9875107018365,4179.256949418825,5.569791797669904,98114.0
same_hour_last_week,3656.3708821663095,5276.468769228889,6.7151181601910315,97970.0
