feature,pearson_corr_with_load
temperature_2m,-0.613764108352232
month,-0.24074999507951078
is_weekend,-0.2362103634351918
relative_humidity_2m,0.2121626162054496
day_of_week,-0.18850845165531546
hour,0.15795326784657696
cloud_cover,0.1297931449007651
wind_speed_10m,0.12668057083023454
shortwave_radiation,-0.09433891851117798
is_holiday,-0.08104621338977994
